 
 ##_NUMERICAL_ANALYSIS_OUTPUT_##
 
 <_SYSTEM_INFORMATION_>
 DAMPING_RATIO: 0.4999839355E-01
 NATURAL_FREQUENCY_AND_PERIOD: 0.6275363571E+01   0.1001246448E+01
 
 <_LOAD_INFORMATION_>
 APPLIED_LOAD: 0.0000E+00*SIN[0.2094E+02*t]
 
 <_ANALYSIS_METHOD_INFORMATION_>
 STATE_FORM_METHOD
 
 <_ANALYSIS_RESULT_>
   TIME         DISPLACEMENT       VELOCITY           ACCELERATION
   0.7500E+00   -.4418668523E-01   0.4970417945E+01   -.1378482812E+01
   0.7600E+00   0.5416090149E-02   0.4946897781E+01   -.3321967002E+01
   0.7700E+00   0.5468687924E-01   0.4904062762E+01   -.5240209184E+01
   0.7800E+00   0.1034339194E+00   0.4842202385E+01   -.7125820676E+01
   0.7900E+00   0.1514687096E+00   0.4761679186E+01   -.8971587449E+01
   0.8000E+00   0.1986067317E+00   0.4662926851E+01   -.1077049742E+02
   0.8100E+00   0.2446681511E+00   0.4546448068E+01   -.1251576676E+02
   0.8200E+00   0.2894784954E+00   0.4412812117E+01   -.1420086517E+02
   0.8300E+00   0.3328693068E+00   0.4262652210E+01   -.1581953998E+02
   0.8400E+00   0.3746787675E+00   0.4096662605E+01   -.1736583901E+02
   0.8500E+00   0.4147522944E+00   0.3915595488E+01   -.1883413209E+02
   0.8600E+00   0.4529431025E+00   0.3720257650E+01   -.2021913122E+02
   0.8700E+00   0.4891127327E+00   0.3511506976E+01   -.2151590920E+02
   0.8800E+00   0.5231315453E+00   0.3290248744E+01   -.2271991678E+02
   0.8900E+00   0.5548791741E+00   0.3057431773E+01   -.2382699820E+02
   0.9000E+00   0.5842449422E+00   0.2814044409E+01   -.2483340503E+02
   0.9100E+00   0.6111282366E+00   0.2561110398E+01   -.2573580841E+02
   0.9200E+00   0.6354388413E+00   0.2299684631E+01   -.2653130948E+02
   0.9300E+00   0.6570972266E+00   0.2030848799E+01   -.2721744816E+02
   0.9400E+00   0.6760347953E+00   0.1755706974E+01   -.2779220998E+02
   0.9500E+00   0.6921940844E+00   0.1475381119E+01   -.2825403129E+02
   0.9600E+00   0.7055289211E+00   0.1191006565E+01   -.2860180259E+02
   0.9700E+00   0.7160045335E+00   0.9037274638E+00   -.2883486998E+02
   0.9800E+00   0.7235976166E+00   0.6146922242E+00   -.2895303497E+02
   0.9900E+00   0.7282963518E+00   0.3250489732E+00   -.2895655233E+02
   0.1000E+01   0.7301003814E+00   0.3594103832E-01   -.2884612630E+02
   0.1010E+01   0.7290207386E+00   -.2514975200E+00   -.2862290499E+02
   0.1020E+01   0.7250797323E+00   -.5361463118E+00   -.2828847306E+02
   0.1030E+01   0.7183107888E+00   -.8169029404E+00   -.2784484281E+02
   0.1040E+01   0.7087582509E+00   -.1092687226E+01   -.2729444350E+02
   0.1050E+01   0.6964771349E+00   -.1362445317E+01   -.2664010926E+02
   0.1060E+01   0.6815328474E+00   -.1625153671E+01   -.2588506536E+02
   0.1070E+01   0.6640008628E+00   -.1879822890E+01   -.2503291308E+02
   0.1080E+01   0.6439663633E+00   -.2125501402E+01   -.2408761320E+02
   0.1090E+01   0.6215238429E+00   -.2361278967E+01   -.2305346814E+02
   0.1100E+01   0.5967766777E+00   -.2586289998E+01   -.2193510292E+02
   0.1110E+01   0.5698366631E+00   -.2799716685E+01   -.2073744493E+02
   0.1120E+01   0.5408235214E+00   -.3000791920E+01   -.1946570265E+02
   0.1130E+01   0.5098643814E+00   -.3188801989E+01   -.1812534341E+02
   0.1140E+01   0.4770932315E+00   -.3363089051E+01   -.1672207024E+02
   0.1150E+01   0.4426503495E+00   -.3523053376E+01   -.1526179797E+02
   0.1160E+01   0.4066817120E+00   -.3668155336E+01   -.1375062864E+02
   0.1170E+01   0.3693383837E+00   -.3797917157E+01   -.1219482629E+02
   0.1180E+01   0.3307758913E+00   -.3911924407E+01   -.1060079134E+02
   0.1190E+01   0.2911535842E+00   -.4009827235E+01   -.8975034539E+01
   0.1200E+01   0.2506339831E+00   -.4091341335E+01   -.7324150643E+01
   0.1210E+01   0.2093821209E+00   -.4156248661E+01   -.5654791970E+01
   0.1220E+01   0.1675648777E+00   -.4204397869E+01   -.3973641852E+01
   0.1230E+01   0.1253503129E+00   -.4235704489E+01   -.2287388151E+01
   0.1240E+01   0.8290699618E-01   -.4250150845E+01   -.6026969206E+00
   0.1250E+01   0.4040334161E-01   -.4247785704E+01   0.1073813684E+01
   0.1260E+01   -.1993054355E-02   -.4228723666E+01   0.2735599145E+01
   0.1270E+01   -.4411606688E-01   -.4193144304E+01   0.4376213866E+01
   0.1280E+01   -.8580168718E-01   -.4141291048E+01   0.5989335912E+01
   0.1290E+01   -.1268886545E+00   -.4073469828E+01   0.7568791107E+01
   0.1300E+01   -.1672190734E+00   -.3990047480E+01   0.9108576398E+01
   0.1310E+01   -.2066390137E+00   -.3891449921E+01   0.1060288240E+02
   0.1320E+01   -.2449990915E+00   -.3778160103E+01   0.1204611504E+02
   0.1330E+01   -.2821550282E+00   -.3650715754E+01   0.1343291622E+02
   0.1340E+01   -.3179681862E+00   -.3509706922E+01   0.1475818341E+02
   0.1350E+01   -.3523060789E+00   -.3355773326E+01   0.1601708813E+02
   0.1360E+01   -.3850428538E+00   -.3189601526E+01   0.1720509322E+02
   0.1370E+01   -.4160597456E+00   -.3011921929E+01   0.1831796888E+02
   0.1380E+01   -.4452454993E+00   -.2823505643E+01   0.1935180738E+02
   0.1390E+01   -.4724967608E+00   -.2625161185E+01   0.2030303641E+02
   0.1400E+01   -.4977184340E+00   -.2417731069E+01   0.2116843103E+02
   0.1410E+01   -.5208240036E+00   -.2202088277E+01   0.2194512421E+02
   0.1420E+01   -.5417358208E+00   -.1979132632E+01   0.2263061583E+02
   0.1430E+01   -.5603853544E+00   -.1749787093E+01   0.2322278024E+02
   0.1440E+01   -.5767134024E+00   -.1514993978E+01   0.2371987228E+02
   0.1450E+01   -.5906702669E+00   -.1275711132E+01   0.2412053175E+02
   0.1460E+01   -.6022158901E+00   -.1032908069E+01   0.2442378636E+02
   0.1470E+01   -.6113199514E+00   -.7875620748E+00   0.2462905311E+02
   0.1480E+01   -.6179619257E+00   -.5406543220E+00   0.2473613817E+02
   0.1490E+01   -.6221311030E+00   -.2931659809E+00   0.2474523519E+02
   0.1500E+01   -.6238265686E+00   -.4607436079E-01   0.2465692211E+02
   0.1510E+01   -.6230571460E+00   0.1996509112E+00   0.2447215648E+02
   0.1520E+01   -.6198413005E+00   0.4430516564E+00   0.2419226933E+02
   0.1530E+01   -.6142070068E+00   0.6831848428E+00   0.2381895757E+02
   0.1540E+01   -.6061915789E+00   0.9191262000E+00   0.2335427503E+02
   0.1550E+01   -.5958414650E+00   0.1149973738E+01   0.2280062217E+02
   0.1560E+01   -.5832120077E+00   0.1374851158E+01   0.2216073442E+02
   0.1570E+01   -.5683671703E+00   0.1592911135E+01   0.2143766936E+02
   0.1580E+01   -.5513792311E+00   0.1803338474E+01   0.2063479264E+02
   0.1590E+01   -.5323284473E+00   0.2005353113E+01   0.1975576286E+02
   0.1600E+01   -.5113026892E+00   0.2198212976E+01   0.1880451526E+02
   0.1610E+01   -.4883970466E+00   0.2381216648E+01   0.1778524459E+02
   0.1620E+01   -.4637134095E+00   0.2553705886E+01   0.1670238694E+02
   0.1630E+01   -.4373600248E+00   0.2715067936E+01   0.1556060076E+02
   0.1640E+01   -.4094510307E+00   0.2864737657E+01   0.1436474718E+02
   0.1650E+01   -.3801059704E+00   0.3002199448E+01   0.1311986958E+02
   0.1660E+01   -.3494492885E+00   0.3126988968E+01   0.1183117264E+02
   0.1670E+01   -.3176098099E+00   0.3238694638E+01   0.1050400083E+02
   0.1680E+01   -.2847202064E+00   0.3336958932E+01   0.9143816506E+01
   0.1690E+01   -.2509164501E+00   0.3421479445E+01   0.7756177698E+01
   0.1700E+01   -.2163372579E+00   0.3492009737E+01   0.6346715636E+01
   0.1710E+01   -.1811235286E+00   0.3548359950E+01   0.4921112134E+01
   0.1720E+01   -.1454177751E+00   0.3590397206E+01   0.3485076924E+01
   0.1730E+01   -.1093635532E+00   0.3618045768E+01   0.2044325020E+01
   0.1740E+01   -.7310489054E-01   0.3631286981E+01   0.6045541915E+00
   0.1750E+01   -.3678571714E-01   0.3630158990E+01   -.8285773339E+00
   0.1760E+01   -.5492994752E-03   0.3614756231E+01   -.2249472890E+01
   0.1770E+01   0.3546231886E-01   0.3585228709E+01   -.3652619004E+01
   0.1780E+01   0.7110886833E-01   0.3541781060E+01   -.5032606565E+01
   0.1790E+01   0.1062523942E+00   0.3484671402E+01   -.6384151452E+01
   0.1800E+01   0.1407577849E+00   0.3414209988E+01   -.7702114540E+01
   0.1810E+01   0.1744932855E+00   0.3330757654E+01   -.8981521009E+01
   0.1820E+01   0.2073309953E+00   0.3234724085E+01   -.1021757889E+02
   0.1830E+01   0.2391473468E+00   0.3126565900E+01   -.1140569677E+02
   0.1840E+01   0.2698235647E+00   0.3006784556E+01   -.1254150060E+02
